"Date","Hour","Active followers"
"2024-02-04","0","32"
"2024-02-04","1","19"
"2024-02-04","2","9"
"2024-02-04","3","7"
"2024-02-04","4","2"
"2024-02-04","5","6"
"2024-02-04","6","7"
"2024-02-04","7","13"
"2024-02-04","8","23"
"2024-02-04","9","30"
"2024-02-04","10","39"
"2024-02-04","11","34"
"2024-02-04","12","42"
"2024-02-04","13","41"
"2024-02-04","14","43"
"2024-02-04","15","44"
"2024-02-04","16","38"
"2024-02-04","17","37"
"2024-02-04","18","40"
"2024-02-04","19","39"
"2024-02-04","20","31"
"2024-02-04","21","37"
"2024-02-04","22","45"
"2024-02-04","23","40"
"2024-02-05","0","29"
"2024-02-05","1","23"
"2024-02-05","2","10"
"2024-02-05","3","8"
"2024-02-05","4","4"
"2024-02-05","5","4"
"2024-02-05","6","3"
"2024-02-05","7","11"
"2024-02-05","8","23"
"2024-02-05","9","26"
"2024-02-05","10","45"
"2024-02-05","11","46"
"2024-02-05","12","47"
"2024-02-05","13","45"
"2024-02-05","14","43"
"2024-02-05","15","44"
"2024-02-05","16","47"
"2024-02-05","17","35"
"2024-02-05","18","39"
"2024-02-05","19","41"
"2024-02-05","20","47"
"2024-02-05","21","44"
"2024-02-05","22","42"
"2024-02-05","23","45"
"2024-02-06","0","35"
"2024-02-06","1","36"
"2024-02-06","2","22"
"2024-02-06","3","11"
"2024-02-06","4","7"
"2024-02-06","5","8"
"2024-02-06","6","22"
"2024-02-06","7","48"
"2024-02-06","8","50"
"2024-02-06","9","49"
"2024-02-06","10","54"
"2024-02-06","11","60"
"2024-02-06","12","62"
"2024-02-06","13","62"
"2024-02-06","14","69"
"2024-02-06","15","77"
"2024-02-06","16","84"
"2024-02-06","17","76"
"2024-02-06","18","77"
"2024-02-06","19","68"
"2024-02-06","20","75"
"2024-02-06","21","71"
"2024-02-06","22","78"
"2024-02-06","23","64"
"2024-02-07","0","48"
"2024-02-07","1","28"
"2024-02-07","2","18"
"2024-02-07","3","7"
"2024-02-07","4","8"
"2024-02-07","5","6"
"2024-02-07","6","26"
"2024-02-07","7","51"
"2024-02-07","8","39"
"2024-02-07","9","47"
"2024-02-07","10","48"
"2024-02-07","11","48"
"2024-02-07","12","71"
"2024-02-07","13","69"
"2024-02-07","14","71"
"2024-02-07","15","73"
"2024-02-07","16","82"
"2024-02-07","17","76"
"2024-02-07","18","81"
"2024-02-07","19","83"
"2024-02-07","20","83"
"2024-02-07","21","82"
"2024-02-07","22","85"
"2024-02-07","23","76"
"2024-02-08","0","48"
"2024-02-08","1","33"
"2024-02-08","2","18"
"2024-02-08","3","8"
"2024-02-08","4","9"
"2024-02-08","5","14"
"2024-02-08","6","28"
"2024-02-08","7","46"
"2024-02-08","8","50"
"2024-02-08","9","48"
"2024-02-08","10","57"
"2024-02-08","11","60"
"2024-02-08","12","64"
"2024-02-08","13","70"
"2024-02-08","14","78"
"2024-02-08","15","79"
"2024-02-08","16","82"
"2024-02-08","17","90"
"2024-02-08","18","89"
"2024-02-08","19","75"
"2024-02-08","20","83"
"2024-02-08","21","80"
"2024-02-08","22","73"
"2024-02-08","23","61"
"2024-02-09","0","45"
"2024-02-09","1","37"
"2024-02-09","2","18"
"2024-02-09","3","12"
"2024-02-09","4","13"
"2024-02-09","5","13"
"2024-02-09","6","27"
"2024-02-09","7","78"
"2024-02-09","8","67"
"2024-02-09","9","80"
"2024-02-09","10","94"
"2024-02-09","11","81"
"2024-02-09","12","94"
"2024-02-09","13","91"
"2024-02-09","14","106"
"2024-02-09","15","116"
"2024-02-09","16","120"
"2024-02-09","17","126"
"2024-02-09","18","121"
"2024-02-09","19","113"
"2024-02-09","20","122"
"2024-02-09","21","127"
"2024-02-09","22","128"
"2024-02-09","23","108"
"2024-02-10","0","70"
"2024-02-10","1","50"
"2024-02-10","2","28"
"2024-02-10","3","15"
"2024-02-10","4","9"
"2024-02-10","5","11"
"2024-02-10","6","56"
"2024-02-10","7","93"
"2024-02-10","8","90"
"2024-02-10","9","93"
"2024-02-10","10","103"
"2024-02-10","11","108"
"2024-02-10","12","131"
"2024-02-10","13","128"
"2024-02-10","14","141"
"2024-02-10","15","136"
"2024-02-10","16","155"
"2024-02-10","17","144"
"2024-02-10","18","144"
"2024-02-10","19","144"
"2024-02-10","20","135"
"2024-02-10","21","139"
"2024-02-10","22","145"
"2024-02-10","23","136"
"2024-02-11","0","102"
"2024-02-11","1","71"
"2024-02-11","2","43"
"2024-02-11","3","32"
"2024-02-11","4","18"
"2024-02-11","5","21"
"2024-02-11","6","10"
"2024-02-11","7","46"
"2024-02-11","8","55"
"2024-02-11","9","103"
"2024-02-11","10","139"
"2024-02-11","11","133"
"2024-02-11","12","134"
"2024-02-11","13","131"
"2024-02-11","14","139"
"2024-02-11","15","139"
"2024-02-11","16","126"
"2024-02-11","17","128"
"2024-02-11","18","130"
"2024-02-11","19","120"
"2024-02-11","20","128"
"2024-02-11","21","130"
"2024-02-11","22","141"
"2024-02-11","23","121"
