"Date","Followers","Difference in followers from previous day"
"2024-01-14 21:40","undefined","NaN"
"2024-01-15 21:40","undefined","NaN"
"2024-01-16 21:40","undefined","NaN"
"2024-01-17 21:40","undefined","NaN"
"2024-01-18 21:40","undefined","NaN"
"2024-01-19 21:40","undefined","NaN"
"2024-01-20 21:40","undefined","NaN"
"2024-01-21 21:40","undefined","NaN"
"2024-01-22 21:40","undefined","NaN"
"2024-01-23 21:40","11","NaN"
"2024-01-24 21:40","11","0"
"2024-01-25 21:40","12","1"
"2024-01-26 21:40","12","0"
"2024-01-27 21:40","12","0"
"2024-01-28 21:40","12","0"
"2024-01-29 21:40","12","0"
"2024-01-30 21:40","35","23"
"2024-01-31 21:40","89","54"
"2024-02-01 21:40","89","0"
"2024-02-02 21:40","94","5"
"2024-02-03 21:40","95","1"
"2024-02-04 21:40","101","6"
"2024-02-05 21:40","167","66"
"2024-02-06 21:40","179","12"
"2024-02-07 21:40","184","5"
"2024-02-08 21:40","243","59"
"2024-02-09 21:40","304","61"
"2024-02-10 21:40","311","7"
